lat,lon,pr,source_file,month
7.5,-81.5,1.6893849,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
7.5,-80.5,1.7792162,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
7.5,-79.5,2.0017796,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
7.5,-78.5,2.5001516,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
7.5,-77.5,3.3865905,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
8.5,-81.5,1.481881,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
8.5,-80.5,1.6152004,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
8.5,-79.5,1.5177844,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
8.5,-78.5,1.6327132,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
8.5,-77.5,2.0096598,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
9.5,-81.5,1.9088061,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
9.5,-80.5,1.7382085,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
9.5,-79.5,1.621171,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
9.5,-78.5,1.4655056,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
9.5,-77.5,1.3405677,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
7.5,-81.5,12.4230795,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
7.5,-80.5,12.493553,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
7.5,-79.5,12.659093,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
7.5,-78.5,13.219075,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
7.5,-77.5,13.334969,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
8.5,-81.5,12.620555,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
8.5,-80.5,12.535278,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
8.5,-79.5,11.816721,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
8.5,-78.5,11.314547,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
8.5,-77.5,11.387798,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
9.5,-81.5,12.623151,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
9.5,-80.5,12.309563,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
9.5,-79.5,11.049826,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
9.5,-78.5,9.88117,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
9.5,-77.5,9.052216,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
7.5,-81.5,2.5905406,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
7.5,-80.5,2.8812933,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
7.5,-79.5,3.5620332,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
7.5,-78.5,4.115735,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
7.5,-77.5,4.0334053,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
8.5,-81.5,2.572438,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
8.5,-80.5,2.9042606,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
8.5,-79.5,2.8628402,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
8.5,-78.5,2.8863807,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
8.5,-77.5,2.900335,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
9.5,-81.5,4.12088,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
9.5,-80.5,3.7298656,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
9.5,-79.5,3.1794622,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
9.5,-78.5,2.5046728,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
9.5,-77.5,2.2114723,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
7.5,-81.5,0.38712424,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
7.5,-80.5,0.4492841,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
7.5,-79.5,0.45819816,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
7.5,-78.5,0.68585443,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
7.5,-77.5,0.9204595,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
8.5,-81.5,0.52119535,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
8.5,-80.5,0.5618967,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
8.5,-79.5,0.4934234,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
8.5,-78.5,0.5035306,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
8.5,-77.5,0.5829706,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
9.5,-81.5,1.3544785,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
9.5,-80.5,1.0687628,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
9.5,-79.5,0.84339654,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
9.5,-78.5,0.5686288,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
9.5,-77.5,0.5106724,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - February (34 models),February
7.5,-81.5,0.58226496,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
7.5,-80.5,0.7145998,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
7.5,-79.5,0.8143991,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
7.5,-78.5,1.0628476,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
7.5,-77.5,1.207844,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
8.5,-81.5,0.7270716,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
8.5,-80.5,0.8350025,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
8.5,-79.5,0.76080585,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
8.5,-78.5,0.7679032,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
8.5,-77.5,0.81180084,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
9.5,-81.5,1.8398827,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
9.5,-80.5,1.4759024,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
9.5,-79.5,1.1769851,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
9.5,-78.5,0.8108042,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
9.5,-77.5,0.71085244,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - January (34 models),January
7.5,-81.5,12.162777,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
7.5,-80.5,12.262433,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
7.5,-79.5,12.203677,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
7.5,-78.5,12.568253,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
7.5,-77.5,12.501793,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
8.5,-81.5,12.663642,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
8.5,-80.5,12.4627495,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
8.5,-79.5,11.644234,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
8.5,-78.5,11.020134,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
8.5,-77.5,10.912615,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
9.5,-81.5,13.483934,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
9.5,-80.5,12.96019,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
9.5,-79.5,11.413657,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
9.5,-78.5,10.14841,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
9.5,-77.5,9.294378,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - July (34 models),July
7.5,-81.5,11.67025,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
7.5,-80.5,11.67993,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
7.5,-79.5,11.351872,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
7.5,-78.5,11.503,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
7.5,-77.5,11.494451,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
8.5,-81.5,11.798264,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
8.5,-80.5,11.332327,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
8.5,-79.5,10.586293,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
8.5,-78.5,10.045656,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
8.5,-77.5,9.942654,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
9.5,-81.5,12.037374,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
9.5,-80.5,11.496512,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
9.5,-79.5,10.097758,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
9.5,-78.5,9.047183,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
9.5,-77.5,8.487196,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - June (34 models),June
7.5,-81.5,0.545877,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
7.5,-80.5,0.58680844,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
7.5,-79.5,0.6305771,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
7.5,-78.5,0.8759886,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
7.5,-77.5,1.2384712,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
8.5,-81.5,0.6022634,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
8.5,-80.5,0.6731495,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
8.5,-79.5,0.59568167,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
8.5,-78.5,0.6069926,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
8.5,-77.5,0.7278806,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
9.5,-81.5,1.2494166,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
9.5,-80.5,1.0171094,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
9.5,-79.5,0.83799314,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
9.5,-78.5,0.6369369,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
9.5,-77.5,0.5554526,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - March (34 models),March
7.5,-81.5,6.474045,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
7.5,-80.5,6.634595,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
7.5,-79.5,7.039908,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
7.5,-78.5,7.6226206,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
7.5,-77.5,8.514819,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
8.5,-81.5,6.0383334,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
8.5,-80.5,6.1446095,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
8.5,-79.5,5.969105,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
8.5,-78.5,6.0382233,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
8.5,-77.5,6.6101074,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
9.5,-81.5,6.2558165,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
9.5,-80.5,6.119869,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
9.5,-79.5,5.5783114,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
9.5,-78.5,5.1401224,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
9.5,-77.5,4.8183208,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - May (34 models),May
7.5,-81.5,7.7461233,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
7.5,-80.5,7.9099417,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
7.5,-79.5,9.019142,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
7.5,-78.5,9.605698,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
7.5,-77.5,9.458278,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
8.5,-81.5,7.735302,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
8.5,-80.5,7.8993287,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
8.5,-79.5,7.704555,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
8.5,-78.5,7.6496906,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
8.5,-77.5,7.595335,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
9.5,-81.5,8.767693,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
9.5,-80.5,8.564845,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
9.5,-79.5,7.70435,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
9.5,-78.5,6.8505154,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
9.5,-77.5,6.64075,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - November (34 models),November
7.5,-81.5,11.768444,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
7.5,-80.5,11.458197,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
7.5,-79.5,12.075278,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
7.5,-78.5,12.277294,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
7.5,-77.5,12.52076,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
8.5,-81.5,11.805523,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
8.5,-80.5,11.046143,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
8.5,-79.5,10.392393,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
8.5,-78.5,10.075855,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
8.5,-77.5,10.293752,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
9.5,-81.5,11.26562,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
9.5,-80.5,10.684163,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
9.5,-79.5,9.627125,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
9.5,-78.5,8.9418335,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
9.5,-77.5,9.010825,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - October (34 models),October
7.5,-81.5,12.815062,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
7.5,-80.5,12.675345,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
7.5,-79.5,12.758909,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
7.5,-78.5,13.266212,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
7.5,-77.5,13.403852,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
8.5,-81.5,12.792304,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
8.5,-80.5,12.346928,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
8.5,-79.5,11.662654,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
8.5,-78.5,11.220222,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
8.5,-77.5,11.331061,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
9.5,-81.5,12.049015,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
9.5,-80.5,11.793014,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
9.5,-79.5,10.776134,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
9.5,-78.5,9.880502,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
9.5,-77.5,9.3571205,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - September (34 models),September
