modelname,month,Mean_Precipitation,Std_Precipitation
CCSM4UOT,Jan,2.7582226,0.17246892
CCSM4UOT,Feb,2.1043625,0.12535153
CCSM4UOT,Mar,1.389566,0.059435975
CCSM4UOT,Apr,1.4941036,0.24902882
CCSM4UOT,May,1.4737321,0.36884725
CCSM4UOT,Jun,1.2864212,0.558032
CCSM4UOT,Jul,0.96502393,0.41644695
CCSM4UOT,Aug,1.7325262,0.18133052
CCSM4UOT,Sep,2.3230107,0.41799203
CCSM4UOT,Oct,2.5979311,0.33014277
CCSM4UOT,Nov,3.4283905,0.40368068
CCSM4UOT,Dec,3.068386,0.1906772
CCSM4Utr,Jan,3.2365065652993508,0.20436335076616052
CCSM4Utr,Feb,2.613341044376648,0.1508998893808016
CCSM4Utr,Mar,1.656356114938535,0.08168077636898123
CCSM4Utr,Apr,1.5255526438699238,0.226671085870617
CCSM4Utr,May,1.6950416339122973,0.43248875828075817
CCSM4Utr,Jun,1.6769936429574956,0.4581691391114487
CCSM4Utr,Jul,1.2565459382534756,0.23887241135487441
CCSM4Utr,Aug,1.7026725817169337,0.1597683339936948
CCSM4Utr,Sep,2.365356657281154,0.29012717274445693
CCSM4Utr,Oct,2.9778105646077164,0.38936086304880246
CCSM4Utr,Nov,3.999845281817397,0.3625934652011837
CCSM4Utr,Dec,3.9656465181389646,0.26407978641293145
CCSM4,Jan,3.7766815185546876,0.23211285924745279
CCSM4,Feb,2.9575911458333333,0.17163303468135718
CCSM4,Mar,1.9218066787719723,0.10559163081315837
CCSM4,Apr,1.4816770299275717,0.13731471898616407
CCSM4,May,1.3435850969950358,0.2615890708993525
CCSM4,Jun,0.9968387985229493,0.2830841876788689
CCSM4,Jul,0.7316453456878661,0.2009811673608062
CCSM4,Aug,1.8259923934936522,0.1524856476322085
CCSM4,Sep,2.900725809733073,0.15991712969057342
CCSM4,Oct,3.3872273763020826,0.22205570991200516
CCSM4,Nov,3.9629162597656244,0.32568951721466666
CCSM4,Dec,4.034268468221029,0.3093499864482186
CESM1.2,Jan,3.1997644805908205,0.3458298781262074
CESM1.2,Feb,2.466814956665039,0.27661924953958894
CESM1.2,Mar,2.0659391657511392,0.13241442291811586
CESM1.2,Apr,1.4616248575846351,0.23656255836150106
CESM1.2,May,1.1321481068929036,0.24847666063235996
CESM1.2,Jun,0.7877796109517416,0.28591349024776525
CESM1.2,Jul,0.8450935935974121,0.19878568050855247
CESM1.2,Aug,2.2242326227823894,0.09609107357377647
CESM1.2,Sep,2.940247548421224,0.2325281620974153
CESM1.2,Oct,3.0495577748616536,0.2770185788650839
CESM1.2,Nov,3.4588129425048826,0.2786176120823956
CESM1.2,Dec,3.428274993896484,0.3672430701471592
CESM2,Jan,3.4242492421468094,0.2897232561122529
CESM2,Feb,2.705795733133952,0.18468648678093028
CESM2,Mar,1.9119648234049482,0.08634819554155902
CESM2,Apr,1.5497173563639322,0.10229507813844481
CESM2,May,1.4485869852701825,0.21451573748464953
CESM2,Jun,1.1248009363810223,0.22258949212396417
CESM2,Jul,1.708421783447265,0.12239325242852789
CESM2,Aug,2.337191276550293,0.11399741139248416
CESM2,Sep,2.66505318959554,0.24677900083479093
CESM2,Oct,3.278223164876302,0.2282545646296219
CESM2,Nov,4.192045313517252,0.3505203534115231
CESM2,Dec,4.2295313008626305,0.3136395966534467
COSMOS,Jan,4.246737976074218,0.17220867065768672
COSMOS,Feb,3.7092565663655592,0.14243259760772264
COSMOS,Mar,2.9179471588134773,0.0563603069346517
COSMOS,Apr,1.8934193166097002,0.04300404521569709
COSMOS,May,1.7583507156372071,0.10043553696432458
COSMOS,Jun,1.549427324930827,0.06102921357316164
COSMOS,Jul,1.8439176305135092,0.045652648241253764
COSMOS,Aug,2.236650072733561,0.22282198735879893
COSMOS,Sep,2.6205870310465493,0.5164093715583563
COSMOS,Oct,3.3784784189860027,0.5110137225946266
COSMOS,Nov,4.142669525146485,0.44392455105230016
COSMOS,Dec,4.758619715372721,0.22146914945343069
ECEARTH3.3,Jan,3.0778886667887364,0.199119810813367
ECEARTH3.3,Feb,2.4328119659423826,0.22083778451820998
ECEARTH3.3,Mar,1.8968541717529295,0.2100743436460615
ECEARTH3.3,Apr,1.5038513183593747,0.2215538521017727
ECEARTH3.3,May,1.3139934221903482,0.2371077553655498
ECEARTH3.3,Jun,1.4940093994140626,0.20961965683084638
ECEARTH3.3,Jul,1.7847987747192382,0.19698765628864826
ECEARTH3.3,Aug,2.976929270426433,0.4972629030645365
ECEARTH3.3,Sep,3.142436637878418,0.5436828323361022
ECEARTH3.3,Oct,3.6099344380696614,0.5049524645763088
ECEARTH3.3,Nov,3.953298950195313,0.434696461292178
ECEARTH3.3,Dec,3.707207921346028,0.3394297095856285
GISS2.1G,Jan,2.8589989980061854,0.16897020637416063
GISS2.1G,Feb,2.471669832865397,0.1523164610744474
GISS2.1G,Mar,2.1567333857218425,0.08935066289527381
GISS2.1G,Apr,1.4948073069254557,0.06854236887457744
GISS2.1G,May,1.5611565272013348,0.06204247387014673
GISS2.1G,Jun,1.5688009897867838,0.07678860446410612
GISS2.1G,Jul,1.686320368448893,0.0781185483792067
GISS2.1G,Aug,2.0560657501220705,0.05892184075542579
GISS2.1G,Sep,2.4947104899088544,0.09805907432427845
GISS2.1G,Oct,2.935514272054036,0.13816729576490044
GISS2.1G,Nov,3.0903201039632155,0.15317285851319026
GISS2.1G,Dec,3.1480265553792317,0.18896772058132372
HadCM3,Jan,3.149500681559245,0.2468132627468874
HadCM3,Feb,2.5832661692301433,0.22063212995584006
HadCM3,Mar,1.9649519983927408,0.2218012811478019
HadCM3,Apr,1.6424858538309735,0.3052183736453214
HadCM3,May,1.532707144419352,0.4289932464994292
HadCM3,Jun,1.3693417040506999,0.363125655870286
HadCM3,Jul,0.44634542783101394,0.08079164309506033
HadCM3,Aug,1.2248659324645996,0.15560502465089998
HadCM3,Sep,2.971949106852214,0.2558708156348922
HadCM3,Oct,3.5133468882242833,0.22174889696741093
HadCM3,Nov,3.775210367838542,0.24338003186968415
HadCM3,Dec,3.316262181599935,0.2935078868446227
HadGEM3,Jan,3.454263737996419,0.2518722292758961
HadGEM3,Feb,2.6706429672241208,0.217263645658161
HadGEM3,Mar,2.1933093643188477,0.16303933966174447
HadGEM3,Apr,1.6852154795328778,0.1533118493584725
HadGEM3,May,1.3609407107035318,0.18771903155619607
HadGEM3,Jun,1.1102708307902018,0.1348373909304386
HadGEM3,Jul,1.1226975504557293,0.14937761734969707
HadGEM3,Aug,1.6733856964111329,0.13673677050184677
HadGEM3,Sep,1.9431622060139977,0.13438675983980447
HadGEM3,Oct,3.0585954030354823,0.20766786076853141
HadGEM3,Nov,4.106898905436197,0.32847103374849046
HadGEM3,Dec,4.301073404947917,0.3230534076438414
IPSLCM5A2,Jan,3.9686270395914716,0.254395723526976
IPSLCM5A2,Feb,3.448004430135091,0.250805038360746
IPSLCM5A2,Mar,2.5186143366495766,0.18805981682439277
IPSLCM5A2,Apr,1.9557547760009764,0.1969316619734514
IPSLCM5A2,May,1.653355458577474,0.2499813078022724
IPSLCM5A2,Jun,1.4546326382954915,0.6129063793215622
IPSLCM5A2,Jul,1.7736925506591792,1.0283822393861282
IPSLCM5A2,Aug,2.089099311828613,0.41422033226980054
IPSLCM5A2,Sep,2.3747509384155268,0.09711514875401549
IPSLCM5A2,Oct,3.099170303344726,0.1615225109871344
IPSLCM5A2,Nov,3.9818175252278643,0.16852626168818136
IPSLCM5A2,Dec,4.477523854573568,0.2736248096245714
IPSLCM5A,Jan,3.5858003489176435,0.2975829893166491
IPSLCM5A,Feb,2.8923843892415366,0.18889874893009978
IPSLCM5A,Mar,2.277308336893718,0.21177632524004492
IPSLCM5A,Apr,1.667363573710124,0.18618952159230598
IPSLCM5A,May,1.3556786473592124,0.21706944779141932
IPSLCM5A,Jun,1.2437324651082358,0.6792917999682716
IPSLCM5A,Jul,1.5499210643768313,0.9146646890002373
IPSLCM5A,Aug,1.9441308911641437,0.49448007300566077
IPSLCM5A,Sep,2.2346761449178056,0.11670904893628117
IPSLCM5A,Oct,2.851931025187174,0.18673519055618226
IPSLCM5A,Nov,3.7636700185139973,0.12186708973801993
IPSLCM5A,Dec,3.844294865926107,0.2540413876114398
IPSLCM6,Jan,3.1732144165039062,0.2374168647686232
IPSLCM6,Feb,2.8876692199707032,0.17443883387555936
IPSLCM6,Mar,2.457311973571777,0.2270660572873171
IPSLCM6,Apr,2.0911176935831706,0.16081084133132145
IPSLCM6,May,1.626016845703125,0.23859919172323535
IPSLCM6,Jun,1.0511708132425943,0.20925200381803952
IPSLCM6,Jul,1.068540236155192,0.12939910011806252
IPSLCM6,Aug,1.4584811719258628,0.18346790255236875
IPSLCM6,Sep,3.22087387084961,0.506221384820607
IPSLCM6,Oct,4.130452550252278,0.43419180594729484
IPSLCM6,Nov,4.216553217569987,0.3274654152732287
IPSLCM6,Dec,4.010943806966146,0.3281991961901528
MIROC4m,Jan,3.5249179077148436,0.0765208978344706
MIROC4m,Feb,3.078010762532552,0.12304964385741725
MIROC4m,Mar,2.4857740656534837,0.07790211402009173
MIROC4m,Apr,1.9162471262613936,0.18035776149003763
MIROC4m,May,1.574394798278809,0.2737366996587776
MIROC4m,Jun,1.761788578033447,0.3744862509591907
MIROC4m,Jul,1.882724889119466,0.43610466056934516
MIROC4m,Aug,3.1644418589274097,0.2017805206721906
MIROC4m,Sep,3.4019326273600257,0.2587913080943593
MIROC4m,Oct,3.630574239095052,0.3244846785709696
MIROC4m,Nov,3.8683559163411463,0.23925750254258474
MIROC4m,Dec,3.919068501790365,0.11127869208415025
MRI2.3,Jan,3.848306223551432,0.22717663085225034
MRI2.3,Feb,3.5136563873291013,0.17838102199228797
MRI2.3,Mar,3.282999877929687,0.08057208222056483
MRI2.3,Apr,2.669140421549479,0.0853236395750043
MRI2.3,May,2.012855008443197,0.05410272004548274
MRI2.3,Jun,1.5835275904337562,0.12261182301059731
MRI2.3,Jul,1.7208077875773116,0.13836991839872181
MRI2.3,Aug,2.378271293640137,0.33980561661239655
MRI2.3,Sep,2.919378000895182,0.28713361327682807
MRI2.3,Oct,3.1793807729085284,0.18167857641362825
MRI2.3,Nov,3.9304928588867187,0.2731794982215573
MRI2.3,Dec,3.7810440572102855,0.21716879650735352
NorESM1-F,Jan,3.172154413859049,0.09432113744389907
NorESM1-F,Feb,2.7918627421061193,0.07017961800418707
NorESM1-F,Mar,2.0746081797281906,0.0771956912293222
NorESM1-F,Apr,1.8725264612833656,0.14552227119734987
NorESM1-F,May,1.5196857515970867,0.24477006640942392
NorESM1-F,Jun,1.7283084487915037,0.21758198116372965
NorESM1-F,Jul,2.075757369995117,0.09988608577346
NorESM1-F,Aug,2.474150136311849,0.11748575874633593
NorESM1-F,Sep,2.218898468017578,0.1554878215101699
NorESM1-F,Oct,3.2502208709716793,0.24187107668814087
NorESM1-F,Nov,3.7411020914713533,0.19283677962303536
NorESM1-F,Dec,3.63495953877767,0.14514582960963374
NorESML,Jan,2.647098197937012,0.07363614033738995
NorESML,Feb,2.2088860702514643,0.12127020217582869
NorESML,Mar,1.9289741007486978,0.20211550193375238
NorESML,Apr,1.9153981272379559,0.29458348189286176
NorESML,May,1.6460942268371583,0.4070825292762209
NorESML,Jun,1.585588003794352,0.4189980041393844
NorESML,Jul,2.0228256479899094,0.21320795285006086
NorESML,Aug,2.9280671691894535,0.1300118574317699
NorESML,Sep,3.578210983276367,0.4062538709987193
NorESML,Oct,3.590893300374349,0.27107527682535715
NorESML,Nov,3.4571632639567054,0.07860665106333034
NorESML,Dec,2.944116287231445,0.04570650967388013
