season_score,d13C,d13C.lower,d13C.upper,d18O,d18O.lower,d18O.upper,D47,D47.lower,D47.upper,temp,temp.lower,temp.upper,d18Ow,d18Ow.lower,d18Ow.upper,.width,.point,.interval,Specimen,Species,N,method,season
1,1.253718886,1.235638217,1.314918814,2.423948134,2.352938744,2.488642878,0.647560842,0.643846552,0.652232497,9.970791203,8.397660175,11.31500741,0.168953439,-0.194507949,0.47971395,0.68,median,qi,SG105,Pygocardia rustica,43,strict,winter
2,1.257226796,1.01312064,1.337010987,2.239117264,2.161504018,2.340720145,0.637347382,0.63185791,0.644784026,13.08912439,10.77487492,14.63025888,0.710517483,0.150394758,1.095802021,0.68,median,qi,SG105,Pygocardia rustica,37,strict,spring
3,1.044497231,0.961621932,1.297739401,1.630582061,1.38576458,2.102701468,0.661077215,0.645355571,0.672352003,6.261309266,2.811587042,10.35723048,-1.416431544,-2.176861937,-0.517499248,0.68,median,qi,SG105,Pygocardia rustica,9,strict,summer
4,1.163185755,0.779157572,1.354243212,2.290168712,2.121157663,2.48333174,0.610081855,0.594175238,0.61649739,21.42055562,19.15042268,26.9231683,2.770476926,2.212932741,3.911848228,0.68,median,qi,SG105,Pygocardia rustica,6,strict,autumn
1,1.253718886,1.199918451,1.374995003,2.423948134,2.284332793,2.530959737,0.647560842,0.638859217,0.657864988,9.970791203,7.002232866,12.59001808,0.168953439,-0.515780536,0.77104904,0.95,median,qi,SG105,Pygocardia rustica,43,strict,winter
2,1.257226796,0.90326775,1.364740935,2.239117264,1.883904122,2.459573733,0.637347382,0.621082944,0.658300331,13.08912439,6.945639524,17.76059449,0.710517483,-0.773652107,1.798704326,0.95,median,qi,SG105,Pygocardia rustica,37,strict,spring
3,1.044497231,0.882738223,1.495520335,1.630582061,1.288025754,2.508948711,0.661077215,0.624250646,0.681413703,6.261309266,0.451729795,17.29839656,-1.416431544,-2.840391757,1.746608781,0.95,median,qi,SG105,Pygocardia rustica,9,strict,summer
4,1.163185755,0.412368069,1.53199255,2.290168712,1.894199269,2.749796413,0.610081855,0.56384314,0.624578377,21.42055562,16.90938882,36.99667097,2.770476926,1.470424136,6.187670595,0.95,median,qi,SG105,Pygocardia rustica,6,strict,autumn
1,1.342527315,1.306856841,1.362302708,2.619823778,2.598420944,2.670083075,0.634469678,0.627465139,0.638089378,13.91456933,12.52392534,15.80959597,1.2838498,0.969202236,1.703919401,0.68,median,qi,SG107,Arctica islandica,8,strict,winter
2,1.333571591,1.274036523,1.404007233,2.294876377,2.200793118,2.322940463,0.644445231,0.635876528,0.647657036,10.99128369,9.736839688,13.55458846,0.26615324,-0.045014667,0.866252628,0.68,median,qi,SG107,Arctica islandica,28,strict,spring
3,1.209375003,0.924161074,1.223192288,1.462868008,1.382346925,1.509253741,0.608017032,0.603171442,0.616824561,21.97650219,19.22131982,23.77451885,1.968343504,1.350144277,2.389746678,0.68,median,qi,SG107,Arctica islandica,10,strict,summer
4,1.162265129,1.132198586,1.186519538,1.827558959,1.820147042,1.871046452,0.656404702,0.652191709,0.660332415,7.511212297,6.247121015,8.795645294,-0.971692076,-1.221529753,-0.701465211,0.68,median,qi,SG107,Arctica islandica,7,strict,autumn
1,1.342527315,1.282885669,1.373123363,2.619823778,2.515663724,2.746026292,0.634469678,0.618484064,0.684809219,13.91456933,-0.045361757,18.61664008,1.2838498,-1.875795625,2.351733063,0.95,median,qi,SG107,Arctica islandica,8,strict,winter
2,1.333571591,1.203439354,1.421680241,2.294876377,2.156130341,2.408743702,0.644445231,0.622878271,0.660689077,10.99128369,6.210110504,17.30494127,0.26615324,-0.853725691,1.694800911,0.95,median,qi,SG107,Arctica islandica,28,strict,spring
3,1.209375003,0.910372301,1.267561922,1.462868008,1.296761473,1.513983152,0.608017032,0.596685782,0.620332664,21.97650219,17.4789511,26.97609901,1.968343504,0.873100631,3.152146285,0.95,median,qi,SG107,Arctica islandica,10,strict,summer
4,1.162265129,1.081060898,1.284048462,1.827558959,1.55932891,2.167376054,0.656404702,0.650933069,0.662446973,7.511212297,5.054375194,9.684018985,-0.971692076,-1.516829845,-0.473846803,0.95,median,qi,SG107,Arctica islandica,7,strict,autumn
1,1.167132483,1.148593774,1.27089796,0.590951278,0.55650312,1.150474549,0.668910915,0.643955946,0.73447715,NA,NA,NA,NA,-6.600278082,NA,0.68,median,qi,SG113,Ostrea edulis,NA,strict,winter
2,1.075890004,0.925004775,1.138017382,0.865427709,0.755708547,0.888483011,0.649834023,0.608426702,0.658111803,9.511625451,7.063965467,21.89544393,-1.504155732,-2.052661101,1.31799277,0.68,median,qi,SG113,Ostrea edulis,27,strict,spring
3,1.439720499,0.827520096,1.48405094,0.460095825,0.326808541,0.528635709,0.608130928,0.598023949,0.62034348,21.64358293,18.51201574,24.46860574,0.88397865,0.14936785,1.514386931,0.68,median,qi,SG113,Ostrea edulis,13,strict,summer
4,1.349288782,1.286464628,1.356215069,0.579317775,0.554522514,0.623430221,0.642044307,0.633777816,0.654925393,11.55204129,8.021606719,14.02444359,-1.303237078,-2.110924322,-0.739775027,0.68,median,qi,SG113,Ostrea edulis,29,strict,autumn
1,1.167132483,1.115815741,1.275706524,0.590951278,0.535193457,1.256324446,0.668910915,0.595331651,0.823712712,NA,NA,NA,NA,-10.9914571,NA,0.95,median,qi,SG113,Ostrea edulis,NA,strict,winter
2,1.075890004,0.890429477,1.222886336,0.865427709,0.665781443,0.968856011,0.649834023,0.60382037,0.660677668,9.511625451,6.124299994,23.69367291,-1.504155732,-2.279418601,1.74996702,0.95,median,qi,SG113,Ostrea edulis,27,strict,spring
3,1.439720499,0.811126455,2.360302785,0.460095825,0.27845,0.651005587,0.608130928,0.595723969,0.64758055,21.64358293,10.06260775,27.12357292,0.88397865,-1.748308468,2.163056935,0.95,median,qi,SG113,Ostrea edulis,13,strict,summer
4,1.349288782,1.248589201,1.389966628,0.579317775,0.51847603,0.667490673,0.642044307,0.623926841,0.665243224,11.55204129,4.966609066,16.95073471,-1.303237078,-2.809277934,-0.048529465,0.95,median,qi,SG113,Ostrea edulis,29,strict,autumn
1,1.544376292,1.50838404,1.555220783,0.299095638,0.216315838,0.463990859,0.616441418,0.607257627,0.618004214,19.31107281,18.67574528,22.42443274,0.222517401,0.030326981,0.963366131,0.68,median,qi,SG115,Pecten complanatus,30,strict,winter
2,0.55963575,0.505930375,0.66304208,0.159440161,-0.058651315,0.337814602,0.627278792,0.606229714,0.633244251,16.17548694,13.96129437,22.43546702,-0.634117113,-1.216336303,0.751432171,0.68,median,qi,SG115,Pecten complanatus,30,strict,spring
3,0.461129276,0.444566876,0.502856302,0.685456227,0.234369606,0.867678528,0.621435818,0.604226807,0.629808565,17.79474456,15.29126111,23.68907063,0.146607767,-0.461247169,1.57577615,0.68,median,qi,SG115,Pecten complanatus,16,strict,summer
4,1.026346112,0.539575746,1.477988827,0.895986643,0.749901583,0.995862435,0.639608989,0.628155324,0.659908718,12.29051924,6.881507919,15.60390553,-0.867345547,-2.099673214,0.032422369,0.68,median,qi,SG115,Pecten complanatus,8,strict,autumn
1,1.544376292,1.278346085,1.569711171,0.299095638,0.184165843,0.527968192,0.616441418,0.596695561,0.623042423,19.31107281,17.22019441,25.73354241,0.222517401,-0.263120526,1.716790041,0.95,median,qi,SG115,Pecten complanatus,30,strict,winter
2,0.55963575,0.462131734,0.715817119,0.159440161,-0.137045747,0.359754517,0.627278792,0.604702326,0.640384741,16.17548694,11.93363563,23.51683286,-0.634117113,-1.628126358,1.096391636,0.95,median,qi,SG115,Pecten complanatus,30,strict,spring
3,0.461129276,0.366990969,1.441741511,0.685456227,0.001166617,1.037161968,0.621435818,0.590959076,0.641339649,17.79474456,11.62166483,27.8244986,0.146607767,-1.171768395,2.554841185,0.95,median,qi,SG115,Pecten complanatus,16,strict,summer
4,1.026346112,0.364396049,1.551352854,0.895986643,0.624293653,1.164093855,0.639608989,0.605483153,0.666405584,12.29051924,4.654006738,22.93688323,-0.867345547,-2.63169724,1.813360404,0.95,median,qi,SG115,Pecten complanatus,8,strict,autumn
1,2.048592477,2.030853154,2.089693706,1.917482121,1.787051304,2.021066955,0.624570861,0.616196256,0.644942368,16.76270376,11.04724266,19.45568612,1.227590237,-0.064152322,1.882554961,0.68,median,qi,SG116,Glycymeris radiolyrata,24,strict,winter
2,2.092702684,2.062174526,2.111232622,1.367313438,1.221640017,1.419993595,0.621907218,0.611329651,0.630019854,17.87892233,14.9455759,20.83761181,0.970529261,0.25908291,1.605729436,0.68,median,qi,SG116,Glycymeris radiolyrata,29,strict,spring
3,2.18040139,2.135130535,2.219954785,1.064157241,1.001947286,1.075864238,0.646410562,0.636438095,0.656421553,10.35065099,7.57864343,13.29175059,-1.100094851,-1.738857551,-0.42871698,0.68,median,qi,SG116,Glycymeris radiolyrata,37,strict,summer
4,2.173387394,2.08313984,2.215312958,1.272483194,1.199832651,1.284832478,0.630285689,0.615699937,0.636953646,15.12930803,12.88795524,19.39430852,0.211727854,-0.319309367,1.182609147,0.68,median,qi,SG116,Glycymeris radiolyrata,41,strict,autumn
1,2.048592477,1.999199854,2.137385417,1.917482121,1.642676508,2.090241424,0.624570861,0.604863321,0.646558317,16.76270376,9.87411151,23.62308177,1.227590237,-0.490366883,2.83054645,0.95,median,qi,SG116,Glycymeris radiolyrata,24,strict,winter
2,2.092702684,2.04504365,2.140491547,1.367313438,1.189163373,1.544858328,0.621907218,0.602846869,0.639620028,17.87892233,12.23817435,24.016419,0.970529261,-0.345365677,2.362743485,0.95,median,qi,SG116,Glycymeris radiolyrata,29,strict,spring
3,2.18040139,2.101946355,2.23435041,1.064157241,0.967412143,1.202584796,0.646410562,0.625932819,0.660877267,10.35065099,6.083975736,16.1626141,-1.100094851,-2.107144285,0.222255781,0.95,median,qi,SG116,Glycymeris radiolyrata,37,strict,summer
4,2.173387394,2.057222463,2.255765825,1.272483194,1.122751414,1.443116465,0.630285689,0.597186219,0.652921139,15.12930803,8.531988172,25.61990909,0.211727854,-1.293149643,2.610244911,0.95,median,qi,SG116,Glycymeris radiolyrata,41,strict,autumn
1,0.781178701,0.559542561,0.85075989,1.960714282,1.636913643,2.249486443,0.662318628,0.652931372,0.673974274,5.846108376,2.571277314,8.559978531,-1.2492928,-2.206084235,-0.470166068,0.68,median,qi,SG126,Angulus benedeni,18,strict,winter
2,0.680051467,0.3856199,0.936440701,1.445542455,1.204225845,1.576137468,0.656853087,0.650427108,0.662470315,7.334352555,5.723494768,9.35582505,-1.481886434,-1.866179118,-0.918052291,0.68,median,qi,SG126,Angulus benedeni,18,strict,spring
3,0.670904585,0.653889123,0.671955045,0.907286841,0.866847628,0.935082282,0.64625008,0.630695218,0.646279873,10.57500635,9.78131164,15.39067939,-1.204608612,-1.406086503,-0.092426969,0.68,median,qi,SG126,Angulus benedeni,9,strict,summer
4,0.646382119,0.467677246,0.738171474,1.645597047,1.575534237,1.81200007,0.678330968,0.647791664,0.685565518,1.863508302,-0.215507913,9.68859461,-2.415085518,-2.934182152,-0.690861979,0.68,median,qi,SG126,Angulus benedeni,22,strict,autumn
1,0.781178701,0.385509038,0.927224561,1.960714282,1.565154276,2.361150206,0.662318628,0.643595037,0.713836844,5.846108376,-8.402045091,10.92971473,-1.2492928,-4.775683228,0.021853244,0.95,median,qi,SG126,Angulus benedeni,18,strict,winter
2,0.680051467,0.318086434,1.063397821,1.445542455,1.090284257,1.595468613,0.656853087,0.635492152,0.669380653,7.334352555,3.656410845,13.46115284,-1.481886434,-2.374961877,-0.0019578,0.95,median,qi,SG126,Angulus benedeni,18,strict,spring
3,0.670904585,0.619215083,1.073267053,0.907286841,0.767630382,0.959485233,0.64625008,0.543290111,0.6525228,10.57500635,8.637723383,44.11513593,-1.204608612,-1.679306523,6.485813109,0.95,median,qi,SG126,Angulus benedeni,9,strict,summer
4,0.646382119,0.14602239,0.847925616,1.645597047,1.473119732,1.920103496,0.678330968,0.639396089,0.689598101,1.863508302,-1.450383752,12.33642906,-2.415085518,-3.245549713,0.012986496,0.95,median,qi,SG126,Angulus benedeni,22,strict,autumn
1,0.906127837,0.632777829,0.928142559,1.952795377,1.894552439,2.047937941,0.645437479,0.631562132,0.67223742,NA,NA,NA,NA,-1.937926492,NA,0.68,median,qi,SG127,Angulus benedeni,NA,strict,winter
2,0.527362101,0.435329969,0.552864781,1.113932506,1.061344499,2.271666885,0.629057962,0.608889449,0.640163814,15.50179851,12.50311712,21.01733738,0.475114519,-0.248417711,1.577988893,0.68,median,qi,SG127,Angulus benedeni,13,strict,spring
3,0.562565709,0.430064866,0.642674852,1.074293049,1.058420984,1.117035525,0.65236139,0.645378302,0.65417535,8.761986928,7.90354417,10.77662034,-1.439395699,-1.652688192,-0.966670339,0.68,median,qi,SG127,Angulus benedeni,28,strict,summer
4,0.385325169,0.338161687,0.432488651,2.128796257,2.051901415,2.205691098,0.591647318,0.591647318,0.591647318,NA,NA,NA,NA,3.726861239,NA,0.68,median,qi,SG127,Angulus benedeni,NA,strict,autumn
1,0.906127837,0.364256113,0.937516484,1.952795377,1.79206944,2.186772571,0.645437479,0.613570266,0.703153881,NA,NA,NA,NA,-3.891183943,NA,0.95,median,qi,SG127,Angulus benedeni,NA,strict,winter
2,0.527362101,0.369060624,0.575280644,1.113932506,0.999340498,2.391329426,0.629057962,0.600632786,0.64761821,15.50179851,9.761451614,24.57996915,0.475114519,-1.126460733,2.845679894,0.95,median,qi,SG127,Angulus benedeni,13,strict,spring
3,0.562565709,0.377390428,0.795231727,1.074293049,0.932302516,1.181911069,0.65236139,0.639040585,0.657711207,8.761986928,7.003557711,12.54232592,-1.439395699,-1.871303807,-0.543981042,0.95,median,qi,SG127,Angulus benedeni,28,strict,summer
4,0.385325169,0.338161687,0.432488651,2.128796257,2.051901415,2.205691098,0.591647318,0.591647318,0.591647318,NA,NA,NA,NA,3.594643888,NA,0.95,median,qi,SG127,Angulus benedeni,NA,strict,autumn
